code,country,year,start,event_name,crisis_category,hazard_type,displaced
TLS,Timor-Leste,2013,2013-01-17,Babulu gale,Weather related,Storm,5
TZA,Tanzania,2014,2014-03-15,Arusha flood,Weather related,Flood,1000
COL,Colombia,2015,2015-06-25,Gameza flood,Weather related,Flood,4
CUB,Cuba,2015,2015-05-02,Baracoa flood,Weather related,Flood,2000
BGD,Bangladesh,2008,2008-07-01,Bangladesh: Flood - 01/07/2008,Weather related,Flood,2200
BGD,Bangladesh,2008,2008-08-30,Bangladesh: Flood - 30/08/2008,Weather related,Flood,57000
GTM,Guatemala,2008,2008-10-22,Guatemala: Flood - 22/10/2008,Weather related,Flood,11000
HND,Honduras,2008,2008-12-12,Honduras: Flood - 12/12/2008,Weather related,Flood,250
HND,Honduras,2008,2008-10-19,Honduras: Flood - 19/10/2008,Weather related,Flood,70000
HTI,Haiti,2008,2008-02-09,Haiti: Storm - 09/02/2008,Weather related,Storm,20
HTI,Haiti,2008,2008-08-26,Haiti: Storm - 26/08/2008,Weather related,Storm,10000
HTI,Haiti,2008,2008-08-18,Haiti: Storm - 18/08/2008,Weather related,Storm,17000
AFG,Afghanistan,2008,2008-08-01,Afghanistan: Flood - 01/08/2008,Weather related,Flood,180
AFG,Afghanistan,2008,2008-04-17,Afghanistan: Earthquake - 17/04/2008,Geophysical,Earthquake,3200
ARG,Argentina,2008,2008-01-28,Argentina: Flood - 28/01/2008,Weather related,Flood,640
ATG,Antigua and Barbuda,2008,2008-10-15,Antigua and Barbuda: Storm - 15/10/2008,Weather related,Storm,45
AUS,Australia,2008,2008-11-16,Australia: Storm - 16/11/2008,Weather related,Storm,1000
BDI,Burundi,2008,2008-09-20,Burundi: Flood - 20/09/2008,Weather related,Flood,2800
BEN,Benin,2008,2008-07-01,Benin: Flood - 01/07/2008,Weather related,Flood,150000
BFA,Burkina Faso,2008,2008-08-01,Burkina Faso: Flood - 01/08/2008,Weather related,Flood,28000
BGD,Bangladesh,2008,2008-08-16,Bangladesh: Landslide/Wet mass movement - 16/08/2008,Weather related,Mass Movement,1700
BHS,"Bahamas, The",2008,2008-07-09,Bahamas: Storm - 09/07/2008,Weather related,Storm,500
BLZ,Belize,2008,2008-10-19,Belize: Flood - 19/10/2008,Weather related,Flood,400
BRA,Brazil,2008,2008-02-02,Brazil: Flood - 02/02/2008,Weather related,Flood,1400
BRA,Brazil,2008,2008-12-01,Brazil: Flood - 01/12/2008,Weather related,Flood,14000
BRA,Brazil,2008,2008-06-05,Brazil: Storm - 05/06/2008,Weather related,Storm,25000
BRA,Brazil,2008,2008-11-22,Brazil: Flood - 22/11/2008,Weather related,Flood,79000
BRA,Brazil,2008,2008-03-30,Brazil: Flood - 30/03/2008,Weather related,Flood,190000
CAF,Central African Republic,2008,2008-07-01,Central African Republic: Flood - 01/07/2008,Weather related,Flood,14000
CAN,Canada,2008,2008-10-04,Canada: Flood - 04/10/2008,Weather related,Flood,200
CAN,Canada,2008,2008-04-26,Canada: Flood - 26/04/2008,Weather related,Flood,1800
CHL,Chile,2008,2008-02-05,Chile: Volcanic activity - 05/02/2008,Geophysical,Volcanic activity,8000
CHL,Chile,2008,2008-05-19,Chile: Flood - 19/05/2008,Weather related,Flood,12000
CHL,Chile,2008,2008-08-29,Chile: Flood - 29/08/2008,Weather related,Flood,23000
CHN,China,2008,2008-08-22,China: Storm - 22/08/2008,Weather related,Storm,390
CHN,China,2008,2008-08-08,China: Storm - 08/08/2008,Weather related,Storm,500
CHN,China,2008,2008-06-10,China: Earthquake - 10/06/2008,Geophysical,Earthquake,860
CHN,China,2008,2008-02-05,China: Flood - 05/02/2008,Weather related,Flood,1900
CHN,China,2008,2008-05-27,China: Flood - 27/05/2008,Weather related,Flood,4600
CHN,China,2008,2008-06-24,China: Storm - 24/06/2008,Weather related,Storm,6000
CHN,China,2008,2008-05-08,China: Earthquake - 08/05/2008,Geophysical,Earthquake,16000
CHN,China,2008,2008-10-31,China: Flood - 31/10/2008,Weather related,Flood,25000
CHN,China,2008,2008-07-07,China: Flood - 07/07/2008,Weather related,Flood,31000
CHN,China,2008,2008-07-08,China: Flood - 08/07/2008,Weather related,Flood,42000
CHN,China,2008,2008-04-19,China: Storm - 19/04/2008,Weather related,Storm,120000
CHN,China,2008,2008-07-28,China: Storm - 28/07/2008,Weather related,Storm,274000
CHN,China,2008,2008-08-30,China: Earthquake - 30/08/2008,Geophysical,Earthquake,650000
CHN,China,2008,2008-10-01,China: Cold wave - 01/10/2008,Weather related,Extreme Temperature,827000
CHN,China,2008,2008-07-06,China: Flood - 06/07/2008,Weather related,Flood,1660000
CHN,China,2008,2008-12-05,China: Earthquake - 05/12/2008,Geophysical,Earthquake,15000000
CMR,Cameroon,2008,2008-07-01,Cameroon: Flood - 01/07/2008,Weather related,Flood,1000
COD,"Congo, Dem. Rep.",2008,2008-02-04,Dem. Rep. Congo: Flood - 04/02/2008,Weather related,Flood,500
COD,"Congo, Dem. Rep.",2008,2008-03-02,Dem. Rep. Congo: Earthquake - 02/03/2008,Geophysical,Earthquake,4600
COL,Colombia,2008,2008-01-17,Colombia: Volcanic activity - 17/01/2008,Geophysical,Volcanic activity,8000
COL,Colombia,2008,2008-09-15,Colombia: Flood - 15/09/2008,Weather related,Flood,10000
COL,Colombia,2008,2008-11-20,Colombia: Volcanic activity - 20/11/2008,Geophysical,Volcanic activity,12000
COL,Colombia,2008,2008-04-14,Colombia: Volcanic activity - 14/04/2008,Geophysical,Volcanic activity,13000
COL,Colombia,2008,2008-12-13,Colombia: Flood - 13/12/2008,Weather related,Flood,20000
CRI,Costa Rica,2008,2008-11-22,Costa Rica: Flood - 22/11/2008,Weather related,Flood,600
CRI,Costa Rica,2008,2008-02-09,Costa Rica: Flood - 09/02/2008,Weather related,Flood,2100
CRI,Costa Rica,2008,2008-10-13,Costa Rica: Flood - 13/10/2008,Weather related,Flood,2500
CRI,Costa Rica,2008,2008-11-26,Costa Rica: Flood - 26/11/2008,Weather related,Flood,6900
CUB,Cuba,2008,2008-08-20,Cuba: Storm - 20/08/2008,Weather related,Storm,13000
CUB,Cuba,2008,2008-08-11,Cuba: Storm - 11/08/2008,Weather related,Storm,20000
